,Unnamed: 0,team_code_x,season_x,game_id,game_date,player_id_x,jersey_num,pts,fga,fga3,fgm,fgm3,fta,ftm,ast,blk,stl,dreb,oreb,reb,pf,tf,tov,mins_played,player_id_AND_season,grade_level,division,first_name,last_name,jersey_no,height_in,season_y,class_desc,xml_name,school,conference,height_ft,conference_id,player_id_y,position,team_code_y
0,0,193.0,2015.0,193-253-2015-12-15,2015-12-15,1711099.0,14,26.0,13.0,4.0,9.0,2.0,9.0,6.0,2.0,2.0,1.0,6.0,8.0,14.0,1.0,0.0,0.0,31.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0
1,1,193.0,2015.0,67-193-2016-01-02,2016-01-02,1711099.0,14,25.0,18.0,9.0,9.0,4.0,4.0,3.0,3.0,0.0,1.0,8.0,1.0,9.0,2.0,0.0,3.0,40.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0
2,2,193.0,2015.0,529-193-2016-03-24,2016-03-24,1711099.0,14,24.0,20.0,7.0,9.0,2.0,6.0,4.0,3.0,1.0,2.0,5.0,0.0,5.0,2.0,0.0,2.0,40.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0
3,3,193.0,2015.0,193-1068-2015-12-28,2015-12-28,1711099.0,14,26.0,16.0,6.0,11.0,3.0,2.0,1.0,1.0,0.0,3.0,10.0,1.0,11.0,1.0,0.0,0.0,31.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0
4,4,193.0,2015.0,193-306-2015-12-02,2015-12-02,1711099.0,14,24.0,15.0,6.0,10.0,4.0,0.0,0.0,2.0,0.0,1.0,2.0,4.0,6.0,4.0,0.0,2.0,32.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0
5,5,193.0,2015.0,193-513-2016-01-16,2016-01-16,1711099.0,14,25.0,14.0,7.0,7.0,4.0,9.0,7.0,2.0,3.0,0.0,4.0,0.0,4.0,4.0,0.0,2.0,29.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0
6,6,193.0,2015.0,193-746-2016-02-13,2016-02-13,1711099.0,14,25.0,22.0,9.0,10.0,4.0,3.0,1.0,1.0,0.0,0.0,4.0,3.0,7.0,3.0,0.0,4.0,38.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0
7,7,193.0,2015.0,193-813-2016-03-19,2016-03-19,1711099.0,14,25.0,19.0,7.0,7.0,3.0,10.0,8.0,2.0,0.0,1.0,4.0,1.0,5.0,1.0,0.0,0.0,40.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0
8,8,193.0,2015.0,490-193-2016-01-23,2016-01-23,1711099.0,14,25.0,16.0,6.0,10.0,4.0,3.0,1.0,3.0,1.0,2.0,6.0,1.0,7.0,2.0,0.0,3.0,39.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0
9,9,193.0,2015.0,193-86-2015-12-05,2015-12-05,1711099.0,14,23.0,15.0,4.0,8.0,2.0,7.0,5.0,0.0,4.0,2.0,5.0,3.0,8.0,3.0,0.0,3.0,38.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0
10,10,193.0,2015.0,193-334-2015-11-17,2015-11-17,1711099.0,14,4.0,6.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,19.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0
11,11,193.0,2015.0,251-193-2015-11-22,2015-11-22,1711099.0,14,5.0,7.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,16.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0
12,12,193.0,2015.0,193-731-2015-11-29,2015-11-29,1711099.0,14,8.0,4.0,0.0,2.0,0.0,6.0,4.0,2.0,2.0,1.0,3.0,3.0,6.0,2.0,0.0,1.0,25.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0
13,13,193.0,2015.0,367-193-2016-02-20,2016-02-20,1711099.0,14,8.0,10.0,5.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,10.0,39.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0
14,14,193.0,2015.0,740-193-2015-11-20,2015-11-20,1711099.0,14,8.0,7.0,3.0,2.0,0.0,11.0,4.0,2.0,1.0,0.0,4.0,1.0,5.0,1.0,0.0,2.0,26.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0
15,15,193.0,2015.0,193-457-2016-03-05,2016-03-05,1711099.0,14,10.0,12.0,5.0,3.0,1.0,4.0,3.0,1.0,2.0,1.0,7.0,1.0,8.0,4.0,0.0,1.0,29.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0
16,16,193.0,2015.0,193-688-2016-01-18,2016-01-18,1711099.0,14,13.0,12.0,8.0,5.0,3.0,0.0,0.0,3.0,0.0,0.0,7.0,4.0,11.0,2.0,0.0,3.0,40.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0
17,17,193.0,2015.0,255-193-2016-02-02,2016-02-02,1711099.0,14,14.0,15.0,4.0,3.0,1.0,8.0,7.0,2.0,4.0,0.0,9.0,1.0,10.0,0.0,0.0,2.0,39.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0
18,18,193.0,2015.0,193-99-2015-12-30,2015-12-30,1711099.0,14,14.0,14.0,7.0,5.0,2.0,2.0,2.0,1.0,0.0,2.0,3.0,2.0,5.0,2.0,0.0,0.0,35.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0
19,19,193.0,2015.0,193-490-2016-02-06,2016-02-06,1711099.0,14,14.0,10.0,6.0,3.0,2.0,7.0,6.0,3.0,2.0,0.0,6.0,1.0,7.0,3.0,0.0,0.0,32.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0
20,20,193.0,2015.0,193-749-2016-03-01,2016-03-01,1711099.0,14,15.0,17.0,5.0,6.0,2.0,2.0,1.0,2.0,1.0,3.0,7.0,4.0,11.0,1.0,0.0,2.0,39.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0
21,21,193.0,2015.0,193-639-2015-11-13,2015-11-13,1711099.0,14,15.0,16.0,9.0,5.0,1.0,6.0,4.0,1.0,2.0,2.0,4.0,1.0,5.0,3.0,0.0,1.0,28.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0
22,22,193.0,2015.0,193-732-2015-12-19,2015-12-19,1711099.0,14,15.0,16.0,6.0,6.0,2.0,2.0,1.0,0.0,3.0,3.0,5.0,0.0,5.0,3.0,0.0,1.0,42.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0
23,23,193.0,2015.0,193-813-2015-11-25,2015-11-25,1711099.0,14,15.0,16.0,6.0,7.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,3.0,5.0,1.0,0.0,2.0,34.0,1711099_AND_2015,1.0,1.0,Brandon,Ingram,14.0,9.0,2015.0,Fr.,"INGRAM,BRANDON",Duke,ACC,6.0,821.0,1711099.0,F,193.0
