Player,Team,Affiliation,Year,Round Number,Round Pick,Overall Pick
Ben Simmons,Philadelphia 76ers,Louisiana State,2016,1,1,1
Brandon Ingram,Los Angeles Lakers,Duke,2016,1,2,2
Jaylen Brown,Boston Celtics,California,2016,1,3,3
Dragan Bender,Phoenix Suns,Maccabi Tel Aviv B.C. (Israel),2016,1,4,4
Kris Dunn,Minnesota Timberwolves,Providence,2016,1,5,5
Buddy Hield,New Orleans Pelicans,Oklahoma,2016,1,6,6
Jamal Murray,Denver Nuggets,Kentucky,2016,1,7,7
Marquese Chriss,Phoenix Suns,Washington,2016,1,8,8
Jakob Poeltl,Toronto Raptors,Utah,2016,1,9,9
Thon Maker,Milwaukee Bucks,,2016,1,10,10
Domantas Sabonis,Oklahoma City Thunder,Gonzaga,2016,1,11,11
Taurean Prince,Utah Jazz,Baylor,2016,1,12,12
Georgios Papagiannis,Sacramento Kings,Panathinaikos B.C. (Greece),2016,1,13,13
Denzel Valentine,Chicago Bulls,Michigan State,2016,1,14,14
Juancho Hernangomez,Denver Nuggets,Movistar Estudiantes,2016,1,15,15
Guerschon Yabusele,Boston Celtics,SPO Rouen Basket,2016,1,16,16
Wade Baldwin IV,Memphis Grizzlies,Vanderbilt,2016,1,17,17
Henry Ellenson,Detroit Pistons,Marquette,2016,1,18,18
Malik Beasley,Denver Nuggets,Florida State,2016,1,19,19
Caris LeVert,Indiana Pacers,Michigan,2016,1,20,20
DeAndre' Bembry,Atlanta Hawks,Saint Joseph's,2016,1,21,21
Malachi Richardson,Charlotte Hornets,Syracuse,2016,1,22,22
Ante Zizic,Boston Celtics,KK Cibona (Croatia),2016,1,23,23
Timothe Luwawu-Cabarrot,Philadelphia 76ers,KK Mega Vizura,2016,1,24,24
Brice Johnson,LA Clippers,North Carolina,2016,1,25,25
Furkan Korkmaz,Philadelphia 76ers,Anadolu Efes S.K. (Turkey),2016,1,26,26
Pascal Siakam,Toronto Raptors,New Mexico State,2016,1,27,27
Skal Labissiere,Sacramento Kings,Kentucky,2016,1,28,28
Dejounte Murray,San Antonio Spurs,Washington,2016,1,29,29
Damian Jones,Golden State Warriors,Vanderbilt,2016,1,30,30
Deyonta Davis,Boston Celtics,Michigan State,2016,2,1,31
Ivica Zubac,Los Angeles Lakers,KK Mega Vizura,2016,2,2,32
Cheick Diallo,LA Clippers,Kansas,2016,2,3,33
Tyler Ulis,Phoenix Suns,Kentucky,2016,2,4,34
Rade Zagorac,Boston Celtics,KK Mega Vizura,2016,2,5,35
Malcolm Brogdon,Milwaukee Bucks,Virginia,2016,2,6,36
Chinanu Onuaku,Houston Rockets,Louisville,2016,2,7,37
Patrick McCaw,Golden State Warriors,Nevada-Las Vegas,2016,2,8,38
David Michineau,New Orleans Pelicans,Elan Chalon (France),2016,2,9,39
Diamond Stone,New Orleans Pelicans,Maryland,2016,2,10,40
Stephen Zimmerman,Orlando Magic,Nevada-Las Vegas,2016,2,11,41
Isaiah Whitehead,Brooklyn Nets,Seton Hall,2016,2,12,42
Zhou Qi,Houston Rockets,Xinjiang Guanghui,2016,2,13,43
Isaia Cordinier,Atlanta Hawks,Denain ASC Voltaire,2016,2,14,44
Demetrius Jackson,Boston Celtics,Notre Dame,2016,2,15,45
AJ Hammons,Dallas Mavericks,Purdue,2016,2,16,46
Jake Layman,Orlando Magic,Maryland,2016,2,17,47
Paul Zipser,Chicago Bulls,FC Bayern Muenchen,2016,2,18,48
Michael Gbinije,Detroit Pistons,Syracuse,2016,2,19,49
Georges Niang,Indiana Pacers,Iowa State,2016,2,20,50
Ben Bentil,Boston Celtics,Providence,2016,2,21,51
Joel Bolomboy,Utah Jazz,Weber State,2016,2,22,52
Petr Cornelie,Denver Nuggets,Le Mans Sarthe Basket (France),2016,2,23,53
Kay Felder,Atlanta Hawks,Oakland,2016,2,24,54
Marcus Paige,Utah Jazz,North Carolina,2016,2,25,55
Daniel Hamilton,Denver Nuggets,Connecticut,2016,2,26,56
Wang Zhelin,Memphis Grizzlies,Fujian,2016,2,27,57
Abdel Nader,Boston Celtics,Iowa State,2016,2,28,58
Isaiah Cousins,Sacramento Kings,Oklahoma,2016,2,29,59
Tyrone Wallace,Utah Jazz,California,2016,2,30,60
