Player,Team,Affiliation,Year,Round Number,Round Pick,Overall Pick
Deandre Ayton,Phoenix Suns,Arizona,2018,1,1,1
Marvin Bagley III,Sacramento Kings,Duke,2018,1,2,2
Luka Doncic,Atlanta Hawks,Real Madrid Baloncesto (Spain),2018,1,3,3
Jaren Jackson Jr.,Memphis Grizzlies,Michigan State,2018,1,4,4
Trae Young,Dallas Mavericks,Oklahoma,2018,1,5,5
Mo Bamba,Orlando Magic,Texas,2018,1,6,6
Wendell Carter Jr.,Chicago Bulls,West Virginia,2018,1,7,7
Collin Sexton,Cleveland Cavaliers,Alabama,2018,1,8,8
Kevin Knox,New York Knicks,Kentucky,2018,1,9,9
Mikal Bridges,Philadelphia 76ers,Villanova,2018,1,10,10
Shai Gilgeous-Alexander,Charlotte Hornets,Kentucky,2018,1,11,11
Miles Bridges,LA Clippers,Michigan State,2018,1,12,12
Jerome Robinson,LA Clippers,Boston College,2018,1,13,13
Michael Porter Jr.,Denver Nuggets,Missouri,2018,1,14,14
Troy Brown Jr.,Washington Wizards,Oregon,2018,1,15,15
Zhaire Smith,Phoenix Suns,Texas Tech,2018,1,16,16
Donte DiVincenzo,Milwaukee Bucks,Villanova,2018,1,17,17
Lonnie Walker IV,San Antonio Spurs,Miami (FL),2018,1,18,18
Kevin Huerter,Atlanta Hawks,Maryland,2018,1,19,19
Josh Okogie,Minnesota Timberwolves,Georgia Tech,2018,1,20,20
Grayson Allen,Utah Jazz,Duke,2018,1,21,21
Chandler Hutchison,Chicago Bulls,Boise State,2018,1,22,22
Aaron Holiday,Indiana Pacers,California-Los Angeles,2018,1,23,23
Anfernee Simons,Portland Trail Blazers,IMG Academy,2018,1,24,24
Moritz Wagner,Los Angeles Lakers,Michigan,2018,1,25,25
Landry Shamet,Philadelphia 76ers,Wichita State,2018,1,26,26
Robert Williams III,Boston Celtics,Texas A&M,2018,1,27,27
Jacob Evans,Golden State Warriors,Cincinnati,2018,1,28,28
Dzanan Musa,Brooklyn Nets,KK Cedevita (Croatia),2018,1,29,29
Omari Spellman,Atlanta Hawks,Villanova,2018,1,30,30
Elie Okobo,Phoenix Suns,Elan Bearnais Pau-Orthez (France),2018,2,1,31
Jevon Carter,Memphis Grizzlies,West Virginia,2018,2,2,32
Jalen Brunson,Dallas Mavericks,Villanova,2018,2,3,33
Devonte' Graham,Atlanta Hawks,Villanova,2018,2,4,34
Melvin Frazier Jr.,Orlando Magic,Tulane,2018,2,5,35
Mitchell Robinson,New York Knicks,,2018,2,6,36
Gary Trent Jr.,Sacramento Kings,Duke,2018,2,7,37
Khyri Thomas,Philadelphia 76ers,Creighton,2018,2,8,38
Isaac Bonga,Philadelphia 76ers,Fraport Skyliners (Germany),2018,2,9,39
Rodions Kurucs,Brooklyn Nets,FC Barcelona Basquet (Spain),2018,2,10,40
Jarred Vanderbilt,Orlando Magic,Kentucky,2018,2,11,41
Bruce Brown,Detroit Pistons,Miami (FL),2018,2,12,42
Justin Jackson,Denver Nuggets,Maryland,2018,2,13,43
Issuf Sanon,Washington Wizards,KK Olimpija (Slovenia),2018,2,14,44
Hamidou Diallo,Brooklyn Nets,Kentucky,2018,2,15,45
De'Anthony Melton,Houston Rockets,Southern California,2018,2,16,46
Svi Mykhailiuk,Los Angeles Lakers,Kansas,2018,2,17,47
Keita Bates-Diop,Minnesota Timberwolves,Ohio State,2018,2,18,48
Chimezie Metu,Milwaukee Bucks,Southern California,2018,2,19,49
Alize Johnson,Indiana Pacers,Missouri State,2018,2,20,50
Tony Carr,New Orleans Pelicans,Penn State,2018,2,21,51
Vincent Edwards,Utah Jazz,Purdue,2018,2,22,52
Devon Hall,Oklahoma City Thunder,Virginia,2018,2,23,53
Shake Milton,Dallas Mavericks,Southern Methodist,2018,2,24,54
Arnoldas Kulboka,Charlotte Hornets,Brose Bamberg (Germany),2018,2,25,55
Ray Spalding,Philadelphia 76ers,Louisville,2018,2,26,56
Kevin Hervey,Oklahoma City Thunder,Texas-Arlington,2018,2,27,57
Thomas Welsh,Denver Nuggets,California-Los Angeles,2018,2,28,58
George King,Phoenix Suns,Colorado,2018,2,29,59
Kostas Antetokounmpo,Philadelphia 76ers,Dayton,2018,2,30,60
