grade_level,division,first_name,last_name,jersey_no,height_in,season,class_desc,xml_name,school,conference,height_ft,conference_id,player_id,position,team_code
0,2,Opponent Stats,Do Not Modify,-101,0,2018,---,"DO NOT MODIFY,OPPONENT TEAM STAT",AUM,Gulf South,0,858,-101,None,30093
0,1,Opponent Stats,Do Not Modify,-101,0,2018,---,"DO NOT MODIFY,OPPONENT TEAM STAT",BYU,WCC,0,922,-101,None,77
0,1,Davin,Guinn,24,5,2015,---,"GUINN,DAVIN",BYU,WCC,6,922,1750670,None,77
0,3,Opponent Stats,Do Not Modify,-101,0,2018,---,"DO NOT MODIFY,OPPONENT TEAM STAT",Coe,American Rivers,0,864,-101,None,150
0,2,Opponent Stats,Do Not Modify,-101,0,2018,---,"DO NOT MODIFY,OPPONENT TEAM STAT",DBU,Heartland,0,28723,-101,None,1045
0,1,Osasumwen,Osaghae,34,7,2016,---,"OSAGHAE,OSASUMWEN",FIU,C-USA,6,24312,1863715,None,231
0,1,Elmo,Stephen,5,7,2015,---,"STEPHEN,ELMO",FIU,C-USA,6,24312,1750205,None,231
0,1,Opponent Stats,Do Not Modify,-101,0,2018,---,"DO NOT MODIFY,OPPONENT TEAM STAT",FIU,C-USA,0,24312,-101,None,231
0,1,Kasper,Christensen,21,,2017,---,"CHRISTENSEN,KASPER",FIU,C-USA,,24312,1967975,None,231
0,3,Opponent Stats,Do Not Modify,-101,0,2018,---,"DO NOT MODIFY,OPPONENT TEAM STAT",IIT,NACC,0,30097,-101,None,30172
0,3,Heath,Sheridan,42,,2018,---,Heath Sheridan,IIT,NACC,,30097,2106300,None,30172
0,3,Guy,Ostroff,31,,2018,---,Guy Ostroff,IIT,NACC,,30097,2106299,None,30172
0,3,Ben,Wagner,4,,2018,---,Ben Wagner,IIT,NACC,,30097,2106301,None,30172
0,1,Kieran,Hayward,5,4,2016,---,"HAYWARD,KIERAN",LSU,SEC,6,911,1857612,None,365
0,1,Opponent Stats,Do Not Modify,-101,0,2017,---,"DO NOT MODIFY,OPPONENT TEAM STAT",LSU,SEC,0,911,-101,None,365
0,1,Opponent Stats,Do Not Modify,-101,0,2018,---,"DO NOT MODIFY,OPPONENT TEAM STAT",LSU,SEC,0,911,-101,None,365
0,1,Reed,Vial,15,,2016,---,"VIAL,REED",LSU,SEC,,911,1860736,None,365
0,1,Marshall,Graves,12,,2016,---,"GRAVES,MARSHALL",LSU,SEC,,911,1860737,None,365
0,1,Elbert,Robinson Iii,3,1,2014,---,"ROBINSON III,ELBERT",LSU,SEC,7,911,1635916,C,365
0,1,Skylar,Mays,4,,2016,---,"MAYS,SKYLAR",LSU,SEC,,911,1857610,G,365
0,1,Aaron,Epps,21,9,2014,---,"EPPS,AARON",LSU,SEC,6,911,1635918,None,365
0,1,Branden,Jenkins,10,,2016,---,"JENKINS,BRANDEN",LSU,SEC,,911,1863792,None,365
