pts,fga,fga3,fgm,fgm3,fta,ftm,ast,blk,stl,dreb,oreb,reb,pf,tf,tov,mins_played,grade_level,division,first_name,last_name,height_in,school,conference,position,season_x,applied,drafted
33.0,20.0,3.0,11.0,2.0,10.0,9.0,4.0,0.0,0.0,5.0,1.0,6.0,3.0,0.0,1.0,44.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
25.0,17.0,9.0,9.0,6.0,2.0,1.0,7.0,0.0,3.0,6.0,0.0,6.0,1.0,0.0,3.0,36.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
2.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,11.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
4.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,2.0,16.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
5.0,10.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,27.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
5.0,10.0,7.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,4.0,1.0,0.0,2.0,36.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
5.0,8.0,5.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,2.0,34.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
7.0,11.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,34.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
7.0,9.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,38.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
7.0,14.0,10.0,2.0,1.0,4.0,2.0,6.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,2.0,41.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
8.0,7.0,5.0,2.0,2.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,35.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
10.0,7.0,4.0,2.0,1.0,6.0,5.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,34.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
10.0,11.0,8.0,2.0,2.0,6.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,36.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
11.0,15.0,6.0,5.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
13.0,10.0,3.0,4.0,1.0,7.0,4.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0,0.0,2.0,27.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
13.0,13.0,6.0,4.0,3.0,4.0,2.0,3.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,32.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
14.0,12.0,3.0,4.0,1.0,5.0,5.0,3.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,25.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
14.0,13.0,8.0,4.0,2.0,4.0,4.0,1.0,0.0,1.0,8.0,1.0,9.0,2.0,0.0,2.0,36.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
15.0,10.0,3.0,4.0,1.0,7.0,6.0,1.0,1.0,2.0,5.0,0.0,5.0,1.0,0.0,0.0,33.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
15.0,13.0,6.0,6.0,3.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,33.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
16.0,10.0,6.0,6.0,4.0,1.0,0.0,2.0,0.0,2.0,5.0,0.0,5.0,2.0,0.0,0.0,37.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
17.0,7.0,2.0,2.0,0.0,15.0,13.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,35.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
17.0,8.0,4.0,4.0,3.0,10.0,6.0,0.0,0.0,3.0,1.0,2.0,3.0,1.0,0.0,2.0,35.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
18.0,12.0,8.0,6.0,4.0,4.0,2.0,3.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,34.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
21.0,13.0,4.0,7.0,2.0,8.0,5.0,1.0,0.0,1.0,2.0,2.0,4.0,2.0,0.0,2.0,29.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
22.0,17.0,7.0,8.0,3.0,7.0,3.0,5.0,0.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,43.0,1.0,1.0,B.J.,Taylor,2.0,UCF,AAC,G,2014.0,0.0,0.0
23.0,14.0,1.0,11.0,0.0,3.0,1.0,0.0,0.0,0.0,8.0,5.0,13.0,2.0,0.0,2.0,36.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
23.0,13.0,0.0,9.0,0.0,7.0,5.0,1.0,2.0,1.0,4.0,8.0,12.0,3.0,0.0,2.0,36.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,5.0,3.0,1.0,0.0,20.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
3.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,0.0,1.0,2.0,3.0,4.0,0.0,1.0,25.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
7.0,8.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,31.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
8.0,6.0,0.0,3.0,0.0,2.0,2.0,1.0,3.0,1.0,5.0,4.0,9.0,1.0,0.0,2.0,37.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
9.0,8.0,0.0,4.0,0.0,2.0,1.0,0.0,3.0,0.0,8.0,5.0,13.0,3.0,0.0,1.0,37.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
9.0,5.0,0.0,2.0,0.0,8.0,5.0,0.0,2.0,1.0,5.0,4.0,9.0,5.0,1.0,0.0,26.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
10.0,7.0,0.0,4.0,0.0,3.0,2.0,1.0,3.0,0.0,7.0,6.0,13.0,3.0,1.0,2.0,31.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
10.0,7.0,0.0,4.0,0.0,6.0,2.0,1.0,2.0,2.0,5.0,6.0,11.0,2.0,0.0,0.0,35.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
11.0,5.0,0.0,4.0,0.0,6.0,3.0,0.0,3.0,1.0,6.0,4.0,10.0,2.0,1.0,1.0,36.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
11.0,8.0,0.0,5.0,0.0,1.0,1.0,0.0,4.0,1.0,5.0,7.0,12.0,3.0,0.0,3.0,31.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
12.0,4.0,0.0,4.0,0.0,9.0,4.0,0.0,3.0,1.0,6.0,4.0,10.0,3.0,0.0,0.0,39.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
12.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,6.0,10.0,3.0,0.0,1.0,31.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
12.0,7.0,0.0,4.0,0.0,9.0,4.0,0.0,1.0,0.0,5.0,7.0,12.0,2.0,0.0,1.0,39.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
12.0,4.0,0.0,4.0,0.0,7.0,4.0,0.0,3.0,1.0,9.0,1.0,10.0,4.0,0.0,1.0,29.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
13.0,9.0,0.0,6.0,0.0,2.0,1.0,0.0,2.0,0.0,7.0,6.0,13.0,4.0,0.0,0.0,30.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
13.0,6.0,0.0,5.0,0.0,8.0,3.0,2.0,2.0,0.0,10.0,5.0,15.0,2.0,0.0,2.0,37.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
16.0,11.0,1.0,8.0,0.0,7.0,0.0,0.0,3.0,1.0,6.0,5.0,11.0,2.0,0.0,0.0,37.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
16.0,9.0,1.0,6.0,0.0,6.0,4.0,4.0,6.0,1.0,10.0,7.0,17.0,1.0,0.0,3.0,40.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
16.0,8.0,0.0,7.0,0.0,3.0,2.0,1.0,2.0,2.0,12.0,4.0,16.0,5.0,0.0,1.0,36.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
17.0,9.0,0.0,6.0,0.0,11.0,5.0,0.0,3.0,1.0,6.0,6.0,12.0,3.0,0.0,2.0,34.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
18.0,6.0,0.0,5.0,0.0,11.0,8.0,1.0,1.0,1.0,10.0,4.0,14.0,0.0,0.0,1.0,35.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
18.0,9.0,0.0,7.0,0.0,6.0,4.0,0.0,3.0,0.0,4.0,4.0,8.0,2.0,0.0,0.0,38.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
19.0,14.0,0.0,7.0,0.0,7.0,5.0,0.0,4.0,2.0,8.0,7.0,15.0,3.0,0.0,1.0,38.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
19.0,17.0,0.0,9.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,7.0,12.0,3.0,0.0,1.0,34.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
20.0,9.0,0.0,9.0,0.0,4.0,2.0,2.0,1.0,0.0,6.0,3.0,9.0,2.0,0.0,1.0,40.0,0.0,1.0,Derrick,Griffin,7.0,Texas Southern,SWAC,F,2015.0,0.0,0.0
26.0,23.0,11.0,9.0,4.0,5.0,4.0,4.0,1.0,1.0,2.0,1.0,3.0,4.0,0.0,2.0,32.0,1.0,1.0,Matt,Morgan,3.0,Cornell,Ivy League,G,2015.0,0.0,0.0
25.0,18.0,8.0,8.0,2.0,10.0,7.0,4.0,1.0,1.0,4.0,0.0,4.0,2.0,0.0,1.0,34.0,1.0,1.0,Matt,Morgan,3.0,Cornell,Ivy League,G,2015.0,0.0,0.0
