,Unnamed: 0,jersey_num,pts,fga,fga3,fgm,fgm3,fta,ftm,ast,blk,stl,dreb,oreb,reb,pf,tf,tov,mins_played,grade_level,division,jersey_no,height_in,season_y,school,conference,height_ft,conference_id,player_id_y,position,team_code_y
0,0,14,26.0,13.0,4.0,9.0,2.0,9.0,6.0,2.0,2.0,1.0,6.0,8.0,14.0,1.0,0.0,0.0,31.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
1,1,14,25.0,18.0,9.0,9.0,4.0,4.0,3.0,3.0,0.0,1.0,8.0,1.0,9.0,2.0,0.0,3.0,40.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
2,2,14,24.0,20.0,7.0,9.0,2.0,6.0,4.0,3.0,1.0,2.0,5.0,0.0,5.0,2.0,0.0,2.0,40.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
3,3,14,26.0,16.0,6.0,11.0,3.0,2.0,1.0,1.0,0.0,3.0,10.0,1.0,11.0,1.0,0.0,0.0,31.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
4,4,14,24.0,15.0,6.0,10.0,4.0,0.0,0.0,2.0,0.0,1.0,2.0,4.0,6.0,4.0,0.0,2.0,32.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
5,5,14,25.0,14.0,7.0,7.0,4.0,9.0,7.0,2.0,3.0,0.0,4.0,0.0,4.0,4.0,0.0,2.0,29.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
6,6,14,25.0,22.0,9.0,10.0,4.0,3.0,1.0,1.0,0.0,0.0,4.0,3.0,7.0,3.0,0.0,4.0,38.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
7,7,14,25.0,19.0,7.0,7.0,3.0,10.0,8.0,2.0,0.0,1.0,4.0,1.0,5.0,1.0,0.0,0.0,40.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
8,8,14,25.0,16.0,6.0,10.0,4.0,3.0,1.0,3.0,1.0,2.0,6.0,1.0,7.0,2.0,0.0,3.0,39.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
9,9,14,23.0,15.0,4.0,8.0,2.0,7.0,5.0,0.0,4.0,2.0,5.0,3.0,8.0,3.0,0.0,3.0,38.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
10,10,14,4.0,6.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,19.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
11,11,14,5.0,7.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,16.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
12,12,14,8.0,4.0,0.0,2.0,0.0,6.0,4.0,2.0,2.0,1.0,3.0,3.0,6.0,2.0,0.0,1.0,25.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
13,13,14,8.0,10.0,5.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,10.0,39.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
14,14,14,8.0,7.0,3.0,2.0,0.0,11.0,4.0,2.0,1.0,0.0,4.0,1.0,5.0,1.0,0.0,2.0,26.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
15,15,14,10.0,12.0,5.0,3.0,1.0,4.0,3.0,1.0,2.0,1.0,7.0,1.0,8.0,4.0,0.0,1.0,29.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
16,16,14,13.0,12.0,8.0,5.0,3.0,0.0,0.0,3.0,0.0,0.0,7.0,4.0,11.0,2.0,0.0,3.0,40.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
17,17,14,14.0,15.0,4.0,3.0,1.0,8.0,7.0,2.0,4.0,0.0,9.0,1.0,10.0,0.0,0.0,2.0,39.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
18,18,14,14.0,14.0,7.0,5.0,2.0,2.0,2.0,1.0,0.0,2.0,3.0,2.0,5.0,2.0,0.0,0.0,35.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
19,19,14,14.0,10.0,6.0,3.0,2.0,7.0,6.0,3.0,2.0,0.0,6.0,1.0,7.0,3.0,0.0,0.0,32.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
20,20,14,15.0,17.0,5.0,6.0,2.0,2.0,1.0,2.0,1.0,3.0,7.0,4.0,11.0,1.0,0.0,2.0,39.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
21,21,14,15.0,16.0,9.0,5.0,1.0,6.0,4.0,1.0,2.0,2.0,4.0,1.0,5.0,3.0,0.0,1.0,28.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
22,22,14,15.0,16.0,6.0,6.0,2.0,2.0,1.0,0.0,3.0,3.0,5.0,0.0,5.0,3.0,0.0,1.0,42.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
23,23,14,15.0,16.0,6.0,7.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,3.0,5.0,1.0,0.0,2.0,34.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
24,24,14,16.0,16.0,7.0,5.0,3.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,7.0,4.0,0.0,5.0,36.0,1.0,1.0,14.0,9.0,2015.0,Duke,ACC,6.0,821.0,1711099.0,F,193.0
